model,mean_mae,std_mae,fold_1_mae,fold_2_mae,fold_3_mae,fold_4_mae,fold_5_mae
Linear Regression,15234.473005714803,1714.3245922631413,17624.873623206357,14436.998848346693,12861.723930291753,14526.530938858332,16722.23768787089
Ridge,15193.56525088826,1708.436636518008,17544.621920750866,14442.080774083048,12807.002414873967,14469.871462389188,16704.24968234423
Lasso,15233.00513260085,1714.1464592507964,17622.250170361767,14436.853263038918,12859.770523399658,14524.761707549042,16721.389998654868
Random Forest,15211.645513603235,1543.918420470381,17435.174640442707,14620.229985450182,13029.875472467349,14560.89696174711,16412.05050790882
KNN,16237.715833333332,1895.378982834889,17410.179166666665,17196.704166666666,12974.3125,15324.245833333334,18283.137499999997
